ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-07,Quebec,Occupations in manufacturing and utilities,Full-time,628.21906
2023-01-07,Ontario,Legislative and senior management occupations,Full-time,625.6978
2023-01-07,Ontario,"Business, finance and administration occupations",Full-time,638.08453
2023-01-07,Ontario,"Business, finance and administration occupations",Part-time,703.14154
2023-01-07,Ontario,Natural and applied sciences and related occupations,Full-time,642.26135
2023-01-07,Ontario,Natural and applied sciences and related occupations,Part-time,657.9586
2023-01-07,Ontario,Health occupations,Full-time,672.5413
2023-01-07,Ontario,Health occupations,Part-time,1059.2643
2023-01-07,Ontario,"Occupations in education, law and social, community and government services",Full-time,1057.113
2023-01-07,Ontario,"Occupations in education, law and social, community and government services",Part-time,1040.0132
2023-01-07,Ontario,"Occupations in art, culture, recreation and sport",Full-time,
2023-01-07,Ontario,"Occupations in art, culture, recreation and sport",Part-time,1086.6394
2023-01-07,Ontario,Sales and service occupations,Full-time,1073.8898
2023-01-07,Ontario,Sales and service occupations,Part-time,1067.5955
