ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-07,New Brunswick,Natural and applied sciences and related occupations,Full-time,460.3403
2023-01-07,New Brunswick,Health occupations,Full-time,452.59787
2023-01-07,New Brunswick,Health occupations,Part-time,
2023-01-07,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,
2023-01-07,New Brunswick,Sales and service occupations,Full-time,
2023-01-07,New Brunswick,Sales and service occupations,Part-time,
2023-01-07,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-07,New Brunswick,"Trades, transport and equipment operators and related occupations",Part-time,902.37103
2023-01-07,New Brunswick,Occupations in manufacturing and utilities,Full-time,864.7414
2023-01-07,Quebec,Legislative and senior management occupations,Full-time,842.9819
2023-01-07,Quebec,"Business, finance and administration occupations",Full-time,838.38446
2023-01-07,Quebec,"Business, finance and administration occupations",Part-time,837.8344
2023-01-07,Quebec,Natural and applied sciences and related occupations,Full-time,836.1401
2023-01-07,Quebec,Health occupations,Full-time,827.4362
2023-01-07,Quebec,Health occupations,Part-time,807.82294
2023-01-07,Quebec,"Occupations in education, law and social, community and government services",Full-time,902.842
2023-01-07,Quebec,"Occupations in education, law and social, community and government services",Part-time,862.85175
2023-01-07,Quebec,"Occupations in art, culture, recreation and sport",Full-time,841.3586
2023-01-07,Quebec,"Occupations in art, culture, recreation and sport",Part-time,836.9277
2023-01-07,Quebec,Sales and service occupations,Full-time,834.6149
2023-01-07,Quebec,Sales and service occupations,Part-time,825.27997
2023-01-07,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-07,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-07,Quebec,"Natural resources, agriculture and related production occupations",Full-time,852.27313
2023-01-07,Quebec,Occupations in manufacturing and utilities,Full-time,823.60126
2023-01-07,Ontario,Legislative and senior management occupations,Full-time,814.0727
2023-01-07,Ontario,"Business, finance and administration occupations",Full-time,
2023-01-07,Ontario,"Business, finance and administration occupations",Part-time,
2023-01-07,Ontario,Natural and applied sciences and related occupations,Full-time,
2023-01-07,Ontario,Natural and applied sciences and related occupations,Part-time,
2023-01-07,Ontario,Health occupations,Full-time,
2023-01-07,Ontario,Health occupations,Part-time,572.3549
2023-01-07,Ontario,"Occupations in education, law and social, community and government services",Full-time,592.08
2023-01-07,Ontario,"Occupations in education, law and social, community and government services",Part-time,596.4106
2023-01-07,Ontario,"Occupations in art, culture, recreation and sport",Full-time,591.3188
2023-01-07,Ontario,"Occupations in art, culture, recreation and sport",Part-time,584.4401
2023-01-07,Ontario,Sales and service occupations,Full-time,590.0339
2023-01-07,Ontario,Sales and service occupations,Part-time,598.2685
2023-01-07,Ontario,"Trades, transport and equipment operators and related occupations",Full-time,604.24164
2023-01-07,Ontario,"Trades, transport and equipment operators and related occupations",Part-time,530.92206
2023-01-07,Ontario,"Natural resources, agriculture and related production occupations",Full-time,554.9865
2023-01-07,Ontario,"Natural resources, agriculture and related production occupations",Part-time,571.04584
2023-01-07,Ontario,Occupations in manufacturing and utilities,Full-time,563.9025
2023-01-07,Manitoba,"Business, finance and administration occupations",Full-time,563.1484
2023-01-07,Manitoba,"Business, finance and administration occupations",Part-time,571.6884
2023-01-07,Manitoba,Natural and applied sciences and related occupations,Full-time,
2023-01-07,Manitoba,Health occupations,Full-time,
